Iteration: 110 | Cardinality: 278706.1804060761 | Time: 0.9589500427246094
Iteration: 111 | Cardinality: 281570.0471704211 | Time: 0.9312524795532227
Iteration: 112 | Cardinality: 288409.0009389062 | Time: 0.955157995223999
Iteration: 113 | Cardinality: 292119.3775272824 | Time: 1.051194190979004
Iteration: 114 | Cardinality: 291081.0794553241 | Time: 0.9121561050415039
Iteration: 115 | Cardinality: 278482.02902693395 | Time: 0.9709739685058594
Iteration: 116 | Cardinality: 275885.5725661683 | Time: 1.077519416809082
Iteration: 117 | Cardinality: 302044.3282114476 | Time: 0.945655107498169
Iteration: 118 | Cardinality: 295498.36707457603 | Time: 1.1252212524414062
Iteration: 119 | Cardinality: 290188.03768563276 | Time: 1.0515024662017822
Iteration: 120 | Cardinality: 276170.43346912944 | Time: 1.017913579940796
Iteration: 121 | Cardinality: 274689.5839838584 | Time: 1.0367836952209473
Iteration: 122 | Cardinality: 271897.583036879 | Time: 0.9102292060852051
Iteration: 123 | Cardinality: 291960.9121060368 | Time: 1.0917611122131348
Iteration: 124 | Cardinality: 286666.0619318629 | Time: 1.099430799484253
Iteration: 125 | Cardinality: 283825.89685362316 | Time: 0.93206787109375
Iteration: 126 | Cardinality: 288125.5893485944 | Time: 0.9049804210662842
Iteration: 127 | Cardinality: 286512.8345373626 | Time: 1.0737459659576416
Iteration: 128 | Cardinality: 296203.12333474087 | Time: 0.9314680099487305
Iteration: 129 | Cardinality: 290974.7859926562 | Time: 1.0211114883422852
Iteration: 130 | Cardinality: 284128.5208622024 | Time: 0.9852361679077148
Iteration: 131 | Cardinality: 286744.08629132854 | Time: 0.9967479705810547
Iteration: 132 | Cardinality: 295575.3191427144 | Time: 0.9844367504119873
Iteration: 133 | Cardinality: 288321.27995103726 | Time: 1.0324583053588867
Iteration: 134 | Cardinality: 301350.59027741384 | Time: 1.0081887245178223
Iteration: 135 | Cardinality: 296020.6187106954 | Time: 0.9269504547119141
Iteration: 136 | Cardinality: 275100.2098604227 | Time: 1.102508783340454
Iteration: 137 | Cardinality: 263680.88888513873 | Time: 0.9632947444915771
Iteration: 138 | Cardinality: 274013.13478371233 | Time: 0.9622857570648193
Iteration: 139 | Cardinality: 304422.6080754542 | Time: 1.0421473979949951
Iteration: 140 | Cardinality: 269062.92742958263 | Time: 0.957949161529541
Iteration: 141 | Cardinality: 275539.76087617775 | Time: 1.0021092891693115
Iteration: 142 | Cardinality: 288223.4407551835 | Time: 0.95699143409729
Iteration: 143 | Cardinality: 291652.4414579112 | Time: 0.9713563919067383
Iteration: 144 | Cardinality: 272613.40543385426 | Time: 0.9557034969329834
Iteration: 145 | Cardinality: 277556.92448479275 | Time: 0.9825921058654785
Iteration: 146 | Cardinality: 284635.3534671289 | Time: 1.074704647064209
Iteration: 147 | Cardinality: 281072.76632050256 | Time: 0.9510715007781982
Iteration: 148 | Cardinality: 280213.0317327493 | Time: 0.923285722732544
Iteration: 149 | Cardinality: 275719.27510211756 | Time: 0.9753575325012207
Iteration: 150 | Cardinality: 286825.1905039004 | Time: 0.9393911361694336
Iteration: 151 | Cardinality: 280343.5214721241 | Time: 0.9974806308746338
Iteration: 152 | Cardinality: 282186.43885257334 | Time: 0.983346700668335
Iteration: 153 | Cardinality: 292661.09231868014 | Time: 1.0367047786712646
Iteration: 154 | Cardinality: 278991.7898954317 | Time: 1.0525128841400146
Iteration: 155 | Cardinality: 290007.02907220396 | Time: 0.9624567031860352
Iteration: 156 | Cardinality: 281374.4414411406 | Time: 0.9880931377410889
Iteration: 157 | Cardinality: 293725.1961040037 | Time: 1.073615550994873
Iteration: 158 | Cardinality: 286711.08676561725 | Time: 0.925776481628418
Iteration: 159 | Cardinality: 279781.57668665785 | Time: 1.0676381587982178
Iteration: 160 | Cardinality: 276845.78619718703 | Time: 1.0247833728790283
Iteration: 161 | Cardinality: 273322.74589225615 | Time: 1.0402472019195557
Iteration: 162 | Cardinality: 300629.51263684366 | Time: 0.9397780895233154
Iteration: 163 | Cardinality: 272646.04251014563 | Time: 0.9048850536346436
Iteration: 164 | Cardinality: 295309.3474042318 | Time: 1.0279133319854736
Iteration: 165 | Cardinality: 289180.92066448194 | Time: 0.9364726543426514
Iteration: 166 | Cardinality: 284969.1736185873 | Time: 0.9111378192901611
Iteration: 167 | Cardinality: 279169.14226269844 | Time: 0.97428297996521
Iteration: 168 | Cardinality: 294063.280703346 | Time: 0.9281539916992188
Iteration: 169 | Cardinality: 291858.9479138563 | Time: 0.9933013916015625
Iteration: 170 | Cardinality: 297980.8741633598 | Time: 0.9790973663330078
Iteration: 171 | Cardinality: 279093.2188679693 | Time: 0.9889509677886963
Iteration: 172 | Cardinality: 287869.5094008069 | Time: 0.9214322566986084
Iteration: 173 | Cardinality: 293335.5285017007 | Time: 0.9385941028594971
Iteration: 174 | Cardinality: 288202.36590389995 | Time: 1.0496654510498047
Iteration: 175 | Cardinality: 278696.57212004106 | Time: 1.0471293926239014
Iteration: 176 | Cardinality: 286502.343729976 | Time: 0.9639859199523926
Iteration: 177 | Cardinality: 293462.6576087688 | Time: 0.9824056625366211
